id,message
1460,"Jafar."
1461,"Jumping out at people."
1462,"The mixing of the races."
1463,"The Harlem Globetrotters."
1464,"Scrotal frostbite."
1465,"Statistically validated stereotypes."
1466,"Pretty Pretty Princess Dress-Up Board Game.®"
1467,"Making shit up."
1468,"Mufasa's death scene."
1469,"Having $57 in the bank."
1470,"A sales team of clowns and pedophiles."
1471,"Survivor's guilt."
1472,"The mere concept of Applebees.®"
1473,"Boris the Soviet Love Hammer."
1474,"Not having sex."
1475,"Indescribably loneliness."
1476,"One thousand Slim Jims."
1477,"A nuanced critique."
1478,"A nautical theme."
1479,"The black Power Ranger."
1480,"Neil Patrick Harris."
1481,"Bill Clinton, naked on a bearskin rug with a saxophone."
1482,"The hose."
1483,"Finding Waldo."
1484,"Fuck Mountain."
1485,"Unlimited soup, salad, and breadsticks."
1486,"Syphilitic insanity."
1487,"Oncoming traffic."
1488,"Suicide bombers."
1489,"Some kind of bird-man."
1490,"Ryan Goslin riding in on a white horse."
1491,"Living in a trash can."
1492,"Historical revisionism."
1493,"A passionate Latino lover."
1494,"Roland the Farter, flatulist to the king."
1495,"Consent."
1496,"An unhinged Ferris wheel rolling toward the sea."
1497,"A plunger to the face."
1498,"Shaft."
1499,"Big Bird's crown, crusty asshole."
1500,"Filling every orifice with butterscotch pudding."
1501,"A fortuitous turnip harvest."
1502,"Buying the right pants to be cool."
1503,"Getting hilariously gang-banged by the Blue Man Group."
1504,"A phantasmagoria of anal delights."
1505,"The new Radiohead album."
1506,"24-hour media coverage."
1507,"Gargling jizz."
1508,"A dollop of sour cream."
1509,"Demonic possession."
1510,"Chugging a lava lamp."
1511,"Jeff Goldblum."
1512,"The day the birds attacked."
1513,"Subduing a grizzly bear and making her your wife."
1514,"A sofa that says ""I have style, but I like to be comfortable."""
1515,"Dorito breath."
1516,"The way white people is."
1517,"Fetal alcohol syndrome."
1518,"The Quesadilla Explosion Salad™ from Chili's.®"
1519,"Racial profiling."
1520,"Special musical guest, Cher."
1521,"A crappy little hand."
1522,"The systemic destruction of an entire people and their way of life."
1523,"Clenched butt cheeks."
1524,"Filing my son with spaghetti."
1525,"Blowing some dudes in an alley."
1526,"Words, words, words."
1527,"Clams."
1528,"Hot doooooooogs!"
1529,"André the Giant's enormous, leathery scrotum."
1530,"A greased-up Matthew McConaughey."
1531,"A pile of squirming bodies."
1532,"A bloody pacifier."
1533,"Medieval Times® Dinner & Tournament."
1534,"Just the tip."
1535,"One ring to rule them all."
1536,"The milk that comes out of a person."
1537,"A sweet spaceship."
1538,"Big ol' floppy titties."
1539,"A 55-gallon drum of lube."
1540,"Sorcery."
1541,"Getting your dick stuck in a Chinese finger trap with another dick."
1542,"Weapons grade plutonium."
1543,"Mad hacky-sack skills."
1544,"Emotional baggage."
1545,"Insatiable bloodlust."
1546,"Hillary Clinton."
1547,"Catastrophic urethral trauma."
1548,"Putting an entire peanut butter and jelly sandwich into the VCR."
1549,"Crying into the pages of Sylvia Plath."
1550,"A spontaneous conga line."
1551,"A Japanese tourist who wants something very badly but cannot communicate it."
1552,"A boo-boo."
1553,"A black-owned and operated business."
1554,"The moist, demanding chasm of his mouth."
1555,"Velcro.™"
1556,"The shambling corpse of Larry King."
1557,"Drinking my bro's pee-pee right out of his peen."
1558,"Quiche."
1559,"Some really fucked up shit."
1560,"Warm, velvety muppet sex."
1561,"The primal, ball-slapping sex your parents are having right now."
1562,"A bigger, blacker dick."
1563,"Crabapples all over the fucking sidewalk."
1564,"Bosnian chick farmers."
1565,"Sanding off a man's nose."
1566,"The harsh light of day."
1567,"Vietnam flashbacks."
1568,"Savagely beating a mascot."
1569,"Staring at a painting and going ""hmmmmmm..."""
1570,"Nubile slave boys."
1571,"Drinking ten 5-hour ENERGYs® to get fifty continuous hours of energy."
1572,"A sweaty, panting leather daddy."
1573,"My manservant, Claude."
